iter	RMSE
218	428.4153038
219	427.9521712
220	427.7345376
221	427.4579411
222	427.0052108
223	426.7155119
224	426.4497976
225	426.2201136
226	426.2113746
227	425.9594208
228	425.7286712
229	425.3226061
230	424.8225256
231	424.6615425
232	424.3678832
233	424.1997575
234	423.7447063
235	423.5197786
236	423.1462643
237	422.9218483
238	422.5374802
239	422.3925367
240	421.9195536
241	421.9128386
242	421.6008515
243	421.4850468
244	421.2663525
245	420.9923079
246	420.3819024
247	420.1508355
248	419.8326764
249	419.7317749
250	419.3682591
251	419.1770711
252	418.9202613
253	418.6167227
254	418.3624697
255	418.2029893
256	418.0466789
257	417.8067743
258	417.5124247
259	417.0973443
260	416.9356212
261	416.7285823
262	416.2874105
263	415.9829699
264	415.8874346
265	415.6101375
266	415.5946152
267	415.4232321
268	415.4062951
269	415.2391143
270	415.2132326
271	415.0108914
272	414.8415043
273	414.5815801
274	414.4336501
275	414.2171293
276	414.2020331
277	414.0251863
278	413.9753212
279	413.9555043
280	413.6794699
281	413.5349162
282	413.3357788
283	413.0271242
284	412.8378351
285	412.6612354
286	412.6500144
287	412.4157664
288	412.2104228
289	412.0545287
290	411.9614398
291	411.7252896
292	411.4339799
293	410.9721168
294	410.7999778
295	410.6433902
296	410.3643469
297	410.0876031
298	409.8036622
299	409.5644985
300	409.3923616
301	409.1592527
302	408.5791325
303	408.2540283
304	408.0012004
305	407.8986024
306	407.6434925
307	407.4296639
308	407.1678628
309	407.1278272
310	406.921556
311	406.6590173
312	406.4234582
313	406.2631401
314	406.0692388
315	405.9489646
316	405.7602433
317	405.536446
318	405.2800839
319	404.8771584
320	404.7159287
321	404.5676797
322	404.4250974
323	404.3313307
324	404.3150893
325	404.0906704
326	403.8314836
327	403.6162479
328	403.3790189
329	403.1230204
330	402.9000225
331	402.8506374
332	402.6325693
333	402.3838929
334	402.2425493
335	402.2051029
336	402.196401
337	402.0239383
338	401.7026004
339	401.6174065
340	401.4457238
341	401.2838633
342	401.1301166
343	400.9868118
344	400.8309436
345	400.5859755
346	400.3955101
347	400.2088981
348	400.0703629
349	399.9640781
350	399.856052
351	399.7128445
352	399.5301718
353	399.3863
354	399.1631455
355	399.0883175
356	398.7816072
357	398.7089401
358	398.5784742
359	398.4496221
360	398.2841221
361	398.0918273
362	397.7537796
363	397.2712696
364	396.9697134
365	396.9037417
366	396.6333329
367	396.5692173
368	396.3688663
369	396.299767
370	396.1959958
371	396.0423886
372	395.8806911
373	395.6622248
374	395.6244172
375	395.5379925
376	395.3977454
377	395.2588605
378	395.2196327
379	395.1227517
380	395.017723
381	394.9836428
382	394.7840695
383	394.5930758
384	394.3998693
385	394.3341255
386	394.1230374
387	393.9412653
388	393.8558599
389	393.6680068
390	393.5304801
391	393.4405643
392	393.4335542
393	393.3262021
394	393.2204927
395	393.1486255
396	393.0474801
397	392.9240145
398	392.7725585
399	392.6330725
400	392.6265941
401	392.6137639
402	392.4587576
403	392.3161643
404	392.097249
405	392.0613038
406	391.874695
407	391.5749141
408	391.4687686
409	391.4095067
410	391.4034424
411	391.3949269
412	391.3899526
413	391.2552085
414	391.1190127
415	390.8512068
416	390.7890657
417	390.6647938
418	390.4720406
419	390.343801
420	390.1838919
421	390.1150062
422	389.8746082
423	389.7513157
424	389.7196697
425	389.7143481
426	389.6360235
427	389.5889766
428	389.2406728
429	389.174833
430	389.1523092
431	389.0563344
432	388.8943414
433	388.8891927
434	388.8841719
435	388.7700207
436	388.6200118
437	388.3221344
438	388.1128623
439	387.9391434
440	387.9342281
441	387.7765673
442	387.6619185
443	387.3629427
444	387.3328716
445	387.3282115
446	387.178432
447	386.7952109
448	386.6922165
449	386.5591048
450	386.4239643
451	386.3955503
452	386.1989574
453	386.1246619
454	385.9183407
455	385.6694753
456	385.6648517
457	385.5184469
458	385.4541441
459	385.3766467
460	385.2068087
461	385.0755774
462	385.0458317
463	384.8341516
464	384.7142203
465	384.6020031
466	384.4460759
467	384.3543213
468	384.2444548
469	384.0709275
470	383.7692032
471	383.7657017
472	383.7615373
473	383.7575137
474	383.6294545
475	383.4772245
476	383.3469708
477	383.1791844
478	383.1505928
479	383.094724
480	382.9816765
481	382.8074515
482	382.7231309
483	382.5743648
484	382.4619338
485	382.3489516
486	382.2397987
487	382.1600775
488	382.0835094
489	382.0797176
490	381.9417224
491	381.9379643
492	381.9343364
493	381.8573826
494	381.7238905
495	381.6382793
496	381.5608212
497	381.3741005
498	381.3503514
499	381.1564491
500	381.0729297
501	380.7053458
502	380.6646645
503	380.6009398
504	380.5973687
505	380.5939228
506	380.431841
507	380.209461
508	380.0834184
509	379.8957347
510	379.7395104
511	379.7160875
512	379.5505796
513	379.3846563
514	379.3603123
515	379.2744661
516	379.1658647
517	379.0154166
518	379.0121122
519	378.8832309
520	378.7434022
521	378.6870764
522	378.6637516
523	378.5354581
524	378.3931693
525	378.289672
526	378.1462885
527	378.0697519
528	377.9039401
529	377.8576137
530	377.8176901
531	377.7414214
532	377.682245
533	377.6610866
534	377.2845951
535	377.1455098
536	376.781818
537	376.6539875
538	376.4204343
539	376.3391794
540	376.2453995
541	376.2082892
542	376.1676663
543	376.0800582
544	376.0050338
545	375.9238067
546	375.8020191
547	375.6097866
548	375.5358385
549	375.4778756
550	375.2477214
551	375.1227801
552	375.0673328
553	374.9733908
554	374.8156397
555	374.7375223
556	374.6377586
557	374.5909661
558	374.3970472
559	374.3021588
560	374.1888969
561	374.1181549
562	373.9132809
563	373.7963244
564	373.7109074
565	373.4452845
566	373.3549398
567	373.2669898
568	373.1715161
569	373.0525994
570	372.8789314
571	372.8116131
572	372.700049
573	372.6428599
574	372.5652947
575	372.4130543
576	372.2882436
577	372.2528937
578	372.2282684
579	372.1083273
580	372.0111479
581	371.9397854
582	371.910738
583	371.8109605
584	371.7004943
585	371.6165586
586	371.5421809
587	371.4011979
588	371.3127171
589	371.2181615
590	371.0949457
591	371.0427948
592	370.9601575
593	370.9145303
594	370.7832531
595	370.7004932
596	370.6975681
597	370.6184241
598	370.5390503
599	370.5362033
600	370.412188
601	370.2876338
602	370.1618483
603	370.0997055
604	369.9656696
605	369.6755518
606	369.500834
607	369.3249424
608	369.0809612
609	368.9733868
610	368.875758
611	368.7571751
612	368.3700412
613	368.2769581
614	368.1445778
615	368.0179402
616	367.9543477
617	367.8124413
618	367.7395711
619	367.6541584
620	367.5105018
621	367.3621576
622	367.2795859
623	367.1683818
624	367.05271
625	366.9381517
626	366.8779943
627	366.735022
628	366.6739062
629	366.3184182
630	366.1715362
631	366.1190106
632	365.9892833
633	365.6685896
634	365.5699084
635	365.4498628
636	365.2430259
637	365.2092014
638	365.1219303
639	365.0623941
640	364.9886254
641	364.9206649
642	364.8091901
643	364.7102482
644	364.6760362
645	364.5970336
646	364.4813851
647	364.3545433
648	364.1621066
649	364.1391661
650	363.8135209
651	363.8109037
652	363.6780891
653	363.5886587
654	363.5161117
655	363.4033733
656	363.3232597
657	363.2619523
658	363.247341
659	363.1672751
660	363.1166284
661	363.0329863
662	362.7673651
663	362.4888285
664	362.3897047
665	362.336931
666	362.2404759
667	362.2056813
668	362.134602
669	362.0972465
670	362.0424202
671	361.9293513
672	361.884243
673	361.7893473
674	361.6151782
675	361.4859201
676	361.4240077
677	361.3738123
678	361.3536842
679	361.2117911
680	361.0482934
681	360.9572206
682	360.8631766
683	360.7813655
684	360.6798406
685	360.6774725
686	360.5232749
687	360.4897752
688	360.3866933
689	360.2930777
690	360.1811988
691	360.1663065
692	360.1147822
693	360.0976322
694	359.9075261
695	359.8195951
696	359.6629775
697	359.5411702
698	359.4392944
699	359.3708061
700	359.2501368
701	359.1673038
702	359.0812641
703	358.9854053
704	358.7359368
705	358.6630118
706	358.641691
707	358.6022616
708	358.5014927
709	358.4209338
710	358.1539531
711	358.0953775
712	358.0370976
713	357.889476
714	357.8127575
715	357.7919285
716	357.7256845
717	357.5535203
718	357.5062434
719	357.3792743
720	357.3198222
721	357.3013231
722	357.2384969
723	356.9956597
724	356.8937915
725	356.7399988
726	356.6532087
727	356.5215911
728	356.4512184
729	356.4062964
730	356.355245
731	356.2909263
732	356.2339866
733	356.1148487
734	356.0186052
735	355.9684048
736	355.850036
737	355.7887742
738	355.7865349
739	355.7066714
740	355.693954
741	355.6450928
742	355.5789601
743	355.4766099
744	355.4744216
745	355.3251638
746	355.2574996
747	355.1937956
748	355.1625419
749	355.1452211
750	355.1179259
751	355.0655395
752	355.0536375
753	354.9666025
754	354.847341
755	354.7511986
756	354.7297069
757	354.5935134
758	354.5913251
759	354.5705196
760	354.5473905
761	354.4187275
762	354.1728847
763	354.1062331
764	354.0474112
765	353.9041002
766	353.7966647
767	353.7799985
768	353.7404289
769	353.6669492
770	353.5489546
771	353.4826373
772	353.4474726
773	353.389516
774	353.3483385
775	353.2821013
776	353.2349025
777	353.1090475
778	353.0607041
779	352.9529022
780	352.7177795
781	352.6482231
782	352.5297364
783	352.5145259
784	352.4735728
785	352.3669347
786	352.300815
787	352.2641644
788	352.2252569
789	352.0840831
790	352.0375567
791	351.9631364
792	351.8555035
793	351.8187932
794	351.7111438
795	351.5753813
796	351.4523685
797	351.3784741
798	351.2242263
799	351.1418574
800	351.0750544
801	350.9695958
802	350.9474597
803	350.8696265
804	350.7949686
805	350.6505691
806	350.6242674
807	350.5619272
808	350.4914172
809	350.4341085
810	350.3376552
811	350.2833248
812	350.1600794
813	350.1041252
814	350.0782538
815	350.0580697
816	349.999109
817	349.9211145
818	349.8749136
819	349.7547607
820	349.7351207
821	349.6392622
822	349.5712272
823	349.5136026
824	349.4407869
825	349.4021542
826	349.3409325
827	349.2527232
828	349.1532086
829	349.0236874
830	349.0092056
831	348.9015352
832	348.8827034
833	348.8113776
834	348.6993066
835	348.6773293
836	348.6119356
837	348.5133911
838	348.44268
839	348.4246197
840	348.2454805
841	348.1683229
842	348.1422437
843	348.0507197
844	348.03859
845	347.9294494
846	347.9057581
847	347.829174
848	347.8109574
849	347.7480148
850	347.68442
851	347.4874192
852	347.3939669
853	347.3660378
854	347.3052748
855	347.2923629
856	347.2712416
857	347.2042575
858	347.0827659
859	346.9086122
860	346.8774679
861	346.8665884
862	346.8160414
863	346.7568742
864	346.7553009
865	346.6811957
866	346.5848869
867	346.5357964
868	346.4316478
869	346.3840432
870	346.2642514
871	346.238367
872	346.1305488
873	346.0957511
874	346.0697356
875	346.0200224
876	345.9722303
877	345.9077194
878	345.8484442
879	345.7664024
880	345.7104563
881	345.6075108
882	345.5524291
883	345.5199619
884	345.5092416
885	345.4054954
886	345.3193203
887	345.2298475
888	345.1880681
889	345.095136
890	345.021034
891	344.9734305
892	344.938674
893	344.8684022
894	344.8039661
895	344.7559165
896	344.702844
897	344.6112728
898	344.5023222
899	344.4683933
900	344.3787447
901	344.3615752
902	344.2981569
903	344.2443083
904	344.2127828
905	344.1434931
906	344.0656142
907	343.9721027
908	343.941865
909	343.8976916
910	343.8403654
911	343.7801174
912	343.7101213
913	343.6186462
914	343.5808611
915	343.529008
916	343.3747121
917	343.324786
918	343.25106
919	343.2496308
920	343.1859719
921	343.1421511
922	343.1232373
923	343.0403408
924	342.9772562
925	342.9262307
926	342.8631451
927	342.7473488
928	342.6980666
929	342.6173983
930	342.6048603
931	342.5167129
932	342.4922672
933	342.3913534
934	342.3762121
935	342.2931403
936	342.2132446
937	342.1714094
938	342.0940563
939	342.0555894
940	341.9775605
941	341.9489106
942	341.9067208
943	341.8086588
944	341.7412674
945	341.6820134
946	341.6619541
947	341.6608501
948	341.6199811
949	341.5979524
950	341.5470999
951	341.4966394
952	341.4757253
953	341.330681
954	341.1623748
955	341.1179993
956	341.0870293
957	340.9940175
958	340.9926706
959	340.9370292
960	340.9138524
961	340.8098059
962	340.770097
963	340.6818638
964	340.5638064
965	340.5363271
966	340.4936512
967	340.4475912
968	340.4003422
969	340.3993748
970	340.3594951
971	340.2461552
972	340.1836441
973	340.110542
974	340.0468496
975	340.0456226
976	339.9704098
977	339.9146284
978	339.7650277
979	339.7414953
980	339.7152501
981	339.5995912
982	339.5538342
983	339.4662125
984	339.3975595
985	339.353473
986	339.3015662
987	339.3006725
988	339.2452267
989	339.2248778
990	339.1674976
991	339.1248817
992	339.0518665
993	339.0442326
994	338.9892629
995	338.9182349
996	338.8773032
997	338.8393369
998	338.7329346
999	338.731588
